#{"t_start": 1694990745.1364563, "env_id": "Radar-v0"}
r,l,t
0.0,1,0.949403
0.0,1,0.951153
0.0,1,0.952883
0.0,1,0.954484
0.0,1,0.956151
0.0,1,0.957926
0.0,1,0.959532
0.0,1,0.961099
0.0,1,0.96257
0.0,1,0.964122
0.0,1,0.965719
0.0,1,0.96737
0.0,1,0.969092
0.0,1,0.970692
0.0,1,0.972263
0.0,1,0.974107
0.0,1,0.975837
0.0,1,0.977449
0.0,1,0.979027
0.0,1,0.980664
0.0,1,0.982315
0.0,1,0.983767
0.0,1,0.985351
0.0,1,0.986972
0.0,1,0.988635
0.0,1,0.990182
0.0,1,0.99178
0.0,1,0.993512
0.0,1,0.995102
0.0,1,0.996815
0.0,1,0.998323
0.0,1,0.999941
0.0,1,1.001462
0.0,1,1.002998
0.0,1,1.004623
0.0,1,1.006202
0.0,1,1.007802
0.0,1,1.009444
0.0,1,1.010997
0.0,1,1.01275
0.0,1,1.01433
0.0,1,1.015861
0.0,1,1.017473
0.0,1,1.018955
0.0,1,1.020541
0.0,1,1.022153
0.0,1,1.023727
0.0,1,1.025234
0.0,1,1.026773
0.0,1,1.028317
0.0,1,1.030121
0.0,1,1.031629
0.0,1,1.033851
0.0,1,1.035347
0.0,1,1.036877
0.0,1,1.038361
0.0,1,1.039912
0.0,1,1.041773
0.0,1,1.04338
0.0,1,1.044899
0.0,1,1.046456
0.0,1,1.048029
0.0,1,1.052099
0.0,1,1.053884
0.0,1,1.05548
0.0,1,1.057216
0.0,1,1.058844
0.0,1,1.060442
0.0,1,1.062083
0.0,1,1.063709
0.0,1,1.065351
0.0,1,1.066967
0.0,1,1.068574
0.0,1,1.070235
0.0,1,1.07179
0.0,1,1.073325
0.0,1,1.074952
0.0,1,1.076624
0.0,1,1.078352
0.0,1,1.079876
0.0,1,1.081342
0.0,1,1.082771
0.0,1,1.084332
0.0,1,1.085865
0.0,1,1.087341
0.0,1,1.088902
0.0,1,1.090415
0.0,1,1.091868
0.0,1,1.093473
0.0,1,1.09507
0.0,1,1.096677
