#{"t_start": 1707175045.1665442, "env_id": "Radar-v0"}
r,l,t
27,28,1.095707
9,29,1.149658
35,26,1.208464
39,28,1.26568
17,32,2.509912
39,29,2.582474
34,33,2.671603
19,35,2.749125
22,28,2.946971
18,33,3.036662
10,33,3.143527
2,29,3.239871
34,27,3.446945
3,35,3.545552
32,32,3.615666
34,29,3.696068
37,29,3.928537
26,29,4.015016
29,36,4.114786
27,24,4.18688
32,22,4.250161
46,26,4.437085
24,32,4.518491
42,24,4.567342
15,31,4.629492
33,33,4.814604
38,25,4.898435
36,33,4.995121
29,28,5.077207
43,30,5.163964
40,30,5.370781
38,28,5.44306
46,30,5.523515
44,26,5.682297
15,33,5.868387
32,27,5.929571
15,26,5.996642
37,29,6.076461
17,26,6.161603
41,24,6.32809
35,26,6.40103
28,24,6.478524
35,26,6.561664
38,26,6.636627
39,26,6.837364
27,29,6.924474
44,35,7.008457
25,35,7.129766
32,22,7.38707
32,25,7.44568
29,26,7.496715
33,25,7.554926
49,34,7.636023
23,30,7.832701
37,37,7.93834
10,30,8.017931
36,28,8.106102
17,35,8.323887
34,32,8.406389
34,31,8.488055
9,34,8.584843
20,28,8.769545
31,31,8.851211
44,31,8.92746
13,32,9.028983
34,29,9.204559
14,34,9.29882
39,32,9.381942
49,37,9.513567
16,27,9.685814
29,30,9.746772
10,28,9.812642
46,30,9.881869
52,32,10.082826
9,27,10.148522
21,29,10.225042
39,27,10.287455
36,32,10.371014
53,33,10.510075
35,24,10.557725
46,29,10.621596
32,30,10.69193
26,31,10.874733
49,31,10.953302
18,30,11.030642
29,31,11.108159
30,30,11.301779
8,36,11.4143
29,30,11.510467
49,27,11.604336
20,34,11.815897
37,34,11.906861
52,33,11.994015
47,35,12.09783
32,35,12.287561
28,28,12.354481
40,28,12.412526
24,33,12.479533
37,28,12.792067
5,34,12.889049
47,26,12.975795
31,22,13.038393
36,23,13.105331
51,32,13.30198
14,28,13.384699
22,33,13.463976
20,33,13.556312
54,35,13.895747
20,29,13.955198
44,29,14.014558
51,31,14.062494
25,33,14.22207
40,24,14.290092
44,30,14.384441
33,28,14.455086
35,33,14.5628
54,30,14.730741
33,27,14.80523
25,24,14.871356
30,24,14.936958
31,25,15.017351
19,32,15.20029
19,28,15.279639
28,29,15.351089
31,24,15.41765
38,31,15.734198
40,27,15.799968
51,29,15.878163
5,31,15.952478
40,30,16.103101
33,23,16.16991
46,27,16.247142
24,30,16.337212
7,30,16.421942
39,30,16.604839
30,23,16.704209
24,24,16.759479
14,37,16.856526
34,23,16.921952
32,27,17.096056
44,31,17.179178
53,32,17.253249
37,31,17.335121
40,23,17.479045
37,26,17.566329
14,30,17.651903
37,28,17.731111
33,28,17.818118
39,28,17.989989
37,28,18.051714
23,28,18.115053
24,25,18.183401
30,26,18.333289
23,31,18.423101
38,30,18.505878
32,31,18.576986
34,27,18.662193
42,30,18.820403
21,31,18.880483
25,25,18.923468
43,27,18.978558
47,28,19.146778
19,26,19.21579
29,23,19.296218
43,29,19.377436
37,37,19.487815
38,24,19.6593
29,26,19.742434
39,26,19.816333
23,30,19.909969
26,31,20.104923
36,23,20.18576
32,21,20.234576
29,28,20.309995
41,26,20.363432
31,30,20.549363
49,31,20.647155
35,29,20.724906
38,28,20.810523
43,29,20.888338
52,29,21.20643
27,30,21.279955
45,28,21.352876
35,26,21.428226
26,26,21.601171
45,25,21.674146
42,30,21.765193
55,31,21.849747
26,27,21.938635
37,33,22.129414
27,32,22.204335
26,30,22.267369
26,30,22.328957
48,36,22.509984
24,23,22.570335
37,23,22.643682
42,28,22.704713
26,24,22.765972
29,29,22.942796
36,21,22.999518
40,25,23.060989
24,31,23.119653
51,31,23.178432
36,22,23.334311
44,28,23.406505
42,25,23.471729
41,24,23.529518
42,29,23.628249
21,27,23.956086
48,35,24.046184
17,37,24.159683
47,29,24.219006
36,33,24.410814
36,24,24.47015
26,37,24.570829
26,25,24.652051
38,29,24.846113
32,25,24.909174
27,34,24.985471
0,36,25.063862
23,30,25.22981
31,28,25.313088
9,30,25.398514
43,28,25.484677
35,26,25.559067
48,38,25.759294
39,30,25.838662
26,29,25.929138
31,37,26.127726
32,24,26.205816
53,34,26.298502
50,30,26.383895
41,26,26.46901
39,26,26.681618
21,31,26.752085
52,32,26.8416
40,26,26.910753
48,29,27.081938
29,31,27.196094
43,27,27.267365
42,25,27.354897
41,30,27.426496
46,30,27.615316
34,25,27.681951
45,28,27.753455
30,30,27.833668
32,24,28.008445
40,27,28.091567
26,22,28.143333
47,34,28.220033
35,24,28.279395
50,30,28.449337
46,30,28.529528
53,34,28.606253
36,23,28.656859
42,28,28.737072
20,34,28.896872
35,26,28.967191
34,29,29.03281
28,29,29.098433
36,29,29.280221
57,33,29.392437
39,31,29.461502
33,22,29.524253
42,29,29.715945
24,23,29.787921
35,32,29.879903
43,33,29.965412
50,36,30.077468
39,33,30.251778
40,29,30.301787
37,25,30.349951
32,33,30.410357
43,28,30.590968
49,31,30.680359
47,31,30.775796
33,24,30.842224
42,25,31.017061
33,25,31.076954
41,26,31.140104
36,37,31.200425
43,24,31.245937
36,27,31.414259
55,36,31.516208
19,30,31.599269
39,29,31.671425
34,21,31.823679
25,26,31.894215
28,37,31.996388
24,25,32.083533
43,34,32.19579
27,27,32.369137
50,35,32.45669
42,27,32.518765
31,26,32.580068
46,31,32.758043
23,25,32.836065
30,31,32.922862
58,35,33.017174
38,24,33.091625
35,23,33.261291
37,33,33.345915
25,32,33.437762
33,34,33.541595
41,25,33.69878
20,30,33.779155
46,30,33.854559
24,35,33.958008
42,25,34.123826
30,30,34.220275
38,30,34.314726
38,29,34.396531
42,26,34.467037
38,27,34.786376
13,28,34.859205
45,35,34.966652
30,34,35.07977
41,34,35.282656
17,33,35.377625
35,35,35.46646
51,29,35.554275
6,31,35.746388
38,24,35.810972
6,34,35.894725
20,29,35.972088
36,27,36.156709
40,25,36.23413
45,29,36.3037
52,32,36.378302
30,30,36.565571
34,25,36.648652
33,23,36.713383
35,24,36.781449
31,28,36.877501
35,24,36.943886
21,22,37.114073
38,28,37.191166
38,23,37.258463
26,30,37.337498
34,24,37.389311
13,29,37.56398
36,31,37.656303
29,29,37.711078
39,28,37.798649
34,26,37.995108
39,26,38.082184
38,26,38.151125
42,29,38.229872
36,24,38.307723
36,23,38.477938
43,29,38.543955
41,27,38.596347
43,28,38.657461
33,31,38.732615
34,27,38.91506
30,29,39.016257
22,29,39.092894
35,24,39.167818
21,24,39.310176
34,26,39.390886
44,26,39.458058
40,24,39.525807
42,26,39.646403
22,28,39.831439
43,29,39.887758
27,23,39.942786
35,25,40.001089
26,39,40.078765
49,33,40.296865
32,23,40.369222
47,31,40.475609
42,26,40.529943
36,27,40.685341
41,32,40.777453
23,30,40.863891
29,30,40.954899
35,20,41.012529
40,26,41.192585
41,39,41.290458
45,27,41.357298
32,25,41.426374
39,31,41.631897
25,32,41.723897
37,24,41.786569
44,27,41.86108
38,29,41.948435
40,35,42.147817
32,30,42.219553
48,29,42.308627
39,22,42.358971
36,32,42.543646
37,25,42.615242
43,25,42.68186
38,25,42.757518
24,29,42.856591
45,28,43.039096
47,27,43.114862
36,29,43.200874
38,28,43.282746
32,30,43.485466
36,22,43.545799
42,30,43.617978
25,30,43.687647
35,35,43.81255
46,31,43.981902
38,27,44.069983
27,31,44.150186
36,32,44.24751
33,30,44.432642
30,31,44.522281
31,27,44.594795
36,29,44.682133
39,26,44.8482
29,26,44.936906
25,28,45.009328
48,28,45.088677
46,28,45.179134
41,27,45.364954
42,26,45.432346
30,24,45.495381
47,27,45.56171
53,32,45.648101
53,31,45.864395
27,33,45.952781
40,30,46.030921
42,28,46.106209
49,32,46.308664
34,27,46.388703
36,28,46.461759
29,35,46.565276
23,39,46.789651
36,23,46.853866
22,32,46.934024
46,29,47.036005
59,35,47.254864
23,25,47.329738
50,29,47.404317
46,28,47.472551
9,35,47.575667
28,28,47.745472
4,38,47.835046
35,28,47.909789
38,24,47.983088
42,25,48.152161
57,34,48.232635
51,40,48.30074
42,29,48.35876
35,26,48.520282
35,29,48.598218
34,33,48.698987
10,29,48.767114
32,32,48.948777
34,26,49.018658
42,29,49.102345
17,31,49.18759
25,34,49.497573
38,31,49.57594
54,31,49.655627
38,36,49.760857
44,29,49.845115
57,35,50.06636
39,28,50.136329
42,27,50.206927
39,36,50.302671
44,30,50.477382
39,28,50.5342
30,31,50.601195
47,28,50.665429
40,30,50.829193
51,33,50.903612
37,26,50.953893
35,25,51.003283
34,26,51.059236
47,33,51.259451
40,29,51.347159
33,21,51.404466
31,25,51.473698
48,35,51.669135
45,28,51.75068
45,28,51.822997
42,35,51.913859
39,29,52.091898
18,31,52.191655
50,30,52.276333
32,30,52.366581
53,29,52.452424
34,34,52.648487
21,37,52.739736
29,25,52.815752
42,31,52.904694
43,33,53.074385
34,34,53.169103
42,26,53.248659
32,28,53.341595
20,32,53.559014
48,33,53.648088
34,26,53.708948
38,26,53.779441
51,29,53.963798
44,30,54.055068
48,31,54.137259
47,29,54.222706
42,30,54.316257
36,34,54.495595
43,27,54.54973
31,33,54.630425
42,27,54.715533
44,32,54.900544
51,35,54.971366
19,34,55.056562
32,35,55.261636
19,29,55.36032
44,34,55.450647
39,26,55.524306
40,30,55.621375
61,34,55.823229
59,38,55.893243
51,29,55.948325
28,25,56.006029
40,30,56.171685
56,34,56.269003
39,25,56.33834
32,23,56.4068
44,31,56.623163
33,27,56.705628
31,20,56.761418
43,25,56.827378
47,28,56.910797
33,31,57.100967
33,25,57.163872
34,35,57.244824
18,28,57.324205
38,28,57.412638
52,31,57.59698
31,26,57.664079
39,26,57.737154
40,26,57.826314
41,39,58.029843
24,29,58.116879
40,25,58.180183
26,28,58.251939
33,27,58.333993
33,32,58.528854
26,35,58.599914
36,23,58.641314
24,27,58.688272
46,35,58.869531
46,32,58.968433
38,24,59.025156
15,34,59.116122
42,29,59.291941
49,33,59.381032
34,26,59.453269
14,32,59.546404
49,32,59.761348
40,31,59.849518
34,32,59.925569
37,26,59.984099
40,23,60.037046
30,31,60.194032
44,29,60.260367
36,32,60.316842
58,34,60.373233
37,32,60.708842
57,38,60.778466
26,32,60.846531
35,31,60.92548
39,34,61.12272
48,33,61.217041
32,29,61.294583
15,28,61.389104
36,27,61.565604
12,30,61.625731
14,35,61.695323
32,33,61.773764
30,31,61.957683
39,28,62.030334
22,37,62.115973
12,37,62.199275
54,33,62.386906
32,29,62.473058
41,35,62.555353
53,35,62.655419
15,38,62.850791
45,29,62.922483
16,31,63.001307
22,37,63.233389
49,32,63.328158
51,32,63.417558
14,37,63.519943
40,36,63.842292
46,31,63.914716
45,27,63.976972
34,35,64.058429
19,29,64.213385
53,33,64.316656
63,38,64.42249
42,29,64.50453
49,31,64.850059
30,40,64.931104
41,37,65.001896
40,41,65.112184
25,36,65.315116
51,33,65.398378
39,32,65.459893
48,28,65.519403
61,40,65.732326
62,36,65.836772
42,25,65.916051
43,33,66.082592
39,28,66.152634
39,32,66.232691
38,26,66.292821
45,27,66.347471
42,28,66.508259
26,32,66.580369
42,32,66.644008
39,28,66.693721
32,33,66.87265
28,28,66.948216
45,35,67.038379
42,31,67.125865
54,29,67.322618
28,33,67.421084
39,27,67.505143
32,29,67.59576
50,30,67.789856
53,34,67.878586
24,32,67.956498
41,37,68.04478
61,37,68.326579
40,32,68.405693
42,29,68.476168
35,33,68.575276
43,25,68.714342
51,32,68.792785
30,29,68.868044
33,35,68.951433
34,31,69.114425
29,35,69.207811
30,36,69.301449
58,34,69.392871
38,30,69.574073
24,36,69.668973
30,34,69.763458
46,41,69.869895
48,27,70.018152
46,37,70.091347
50,34,70.142312
45,35,70.199684
42,29,70.391184
53,32,70.464994
33,34,70.555868
50,32,70.633286
45,33,70.811096
60,36,70.893389
56,37,70.947667
39,28,71.127724
23,32,71.221463
27,35,71.306741
57,34,71.400847
49,32,71.639006
53,32,71.701495
48,35,71.761612
27,23,71.810637
53,32,71.951671
26,29,72.012238
52,32,72.058946
17,37,72.139526
39,30,72.355395
42,30,72.43253
39,31,72.487642
22,33,72.548615
38,24,72.617349
48,35,72.865717
55,34,72.959525
53,42,73.074714
45,31,73.354097
40,28,73.4288
34,33,73.489905
41,33,73.538075
30,30,73.698749
39,34,73.793825
23,38,73.881908
54,34,73.962073
39,31,74.131347
8,39,74.209621
35,31,74.274482
41,35,74.337246
23,36,74.512415
32,32,74.571902
47,37,74.635554
37,32,74.711893
39,29,74.881541
44,31,74.960079
25,27,75.029068
28,34,75.130396
51,28,75.282107
56,31,75.376991
40,34,75.464678
81,45,75.693201
60,34,75.768178
44,29,75.828066
44,32,75.902114
35,30,75.983268
17,35,76.197875
49,32,76.264135
31,31,76.324781
39,27,76.406292
65,35,76.578211
46,32,76.670657
37,28,76.742548
41,30,76.839503
46,28,77.011779
51,41,77.117185
33,37,77.212499
30,34,77.407156
39,31,77.500837
37,28,77.57733
51,28,77.656238
46,34,77.762474
57,39,77.961493
30,31,78.036675
39,34,78.128278
49,35,78.327624
30,37,78.431689
46,31,78.52123
5,32,78.611953
30,31,78.805107
39,35,78.886764
36,34,78.960665
24,37,79.042925
43,31,79.222764
37,35,79.330706
50,31,79.414932
44,26,79.489092
36,37,79.701121
48,32,79.786043
44,33,79.864516
36,27,79.925892
47,32,80.125748
35,26,80.2216
52,29,80.300604
44,38,80.417808
36,27,80.60971
46,29,80.683354
71,40,80.77669
39,44,80.8954
40,30,81.054672
49,34,81.143635
26,32,81.22334
34,31,81.33077
35,36,81.519089
54,31,81.594276
40,40,81.691273
9,29,81.874552
36,31,81.957085
38,29,82.029797
41,30,82.108063
28,34,82.192705
38,34,82.392533
52,39,82.498582
32,35,82.589822
54,29,82.781629
38,37,82.879676
28,37,82.968954
40,26,83.064652
36,31,83.228391
40,32,83.327101
55,35,83.414708
69,46,83.543833
21,35,83.75204
53,37,83.838444
46,33,83.912556
48,32,84.114242
73,44,84.24062
43,40,84.316125
40,28,84.375339
40,33,84.547283
31,34,84.628549
12,39,84.701977
24,35,84.774592
53,37,84.98226
55,35,85.069853
33,28,85.13483
28,42,85.359188
46,31,85.445424
24,41,85.529495
37,42,85.620832
28,28,85.86307
63,35,85.942263
37,39,86.033099
51,34,86.218153
40,37,86.330731
49,31,86.416801
36,34,86.507678
53,29,86.679122
42,36,86.771321
52,36,86.856294
36,35,86.948607
63,40,87.150529
61,34,87.225087
23,38,87.300767
39,41,87.487622
58,36,87.589184
55,37,87.67419
68,41,87.890496
42,40,88.017749
27,37,88.116068
44,38,88.234816
48,29,88.404432
31,33,88.491207
52,29,88.562906
41,40,88.675565
40,44,88.933445
16,35,89.020286
45,34,89.115234
28,38,89.44898
27,35,89.543098
45,34,89.636124
24,37,89.75707
32,40,89.983174
50,43,90.087854
38,37,90.197107
48,40,90.409544
59,36,90.50399
41,44,90.621536
18,36,90.840695
47,43,90.959453
60,36,91.056617
53,36,91.172278
51,39,91.402313
44,31,91.478971
57,39,91.594345
21,34,91.798521
29,34,91.886745
65,37,91.97047
16,37,92.072511
42,40,92.391672
55,35,92.486041
38,36,92.580146
48,28,92.756791
34,38,92.847701
34,34,92.919965
45,36,92.999356
36,31,93.179648
57,33,93.289527
49,37,93.410176
6,41,93.539526
28,30,93.934537
56,35,94.020994
37,34,94.112754
62,37,94.40594
28,35,94.494545
40,25,94.565505
49,33,94.656419
45,36,94.864152
24,37,94.97906
47,29,95.054648
40,30,95.139189
39,36,95.340914
40,36,95.435906
44,37,95.521483
35,33,95.621261
55,34,95.866942
61,37,95.932675
21,42,96.012834
61,37,96.178114
33,39,96.283233
66,41,96.387181
23,37,96.592081
47,29,96.683428
45,32,96.779584
25,34,96.878637
42,44,97.111359
38,39,97.215964
52,31,97.302459
57,38,97.408821
63,43,97.652978
56,35,97.76027
39,40,97.877385
22,37,98.096956
67,41,98.179502
56,32,98.240009
