#{"t_start": 1707153303.3442564, "env_id": "Radar-v0"}
r,l,t
37.483676,34,1.057318
18.828201,37,1.136736
30.762912,29,1.204709
27.412693,34,2.437822
37.166882,25,2.488593
28.50115,26,2.5304
37.857975,30,2.585896
35.056006,33,2.64481
35.132247,25,2.836194
10.097417,32,2.906399
9.911286,32,2.959878
25.905295,30,3.026038
31.836631,30,3.232539
40.616126,27,3.308116
35.826651,24,3.352935
4.692848,31,3.397543
25.55215,23,3.434935
36.046598,27,3.594059
27.345515,32,3.680255
20.983387,32,3.736512
28.779056,31,3.775226
36.265602,34,3.951942
18.872274,29,4.033721
37.487405,26,4.110585
25.739806,33,4.189134
22.694632,31,4.413594
19.071232,31,4.495051
45.854427,32,4.561219
30.834929,29,4.621569
39.890454,31,4.811993
48.03597,29,4.90192
7.009396,34,4.96954
11.094062,30,5.03134
28.544425,23,5.147859
40.407175,32,5.305989
40.327581,29,5.390311
39.188669,30,5.471487
21.103619,30,5.565701
13.640212,32,5.743418
10.873332,28,5.805292
35.451364,24,5.861368
5.460703,31,5.936144
39.953706,33,6.138438
28.119072,29,6.228019
43.46292,29,6.294943
29.941125,25,6.35743
36.309743,26,6.441931
17.172014,36,6.778304
20.172217,25,6.833859
32.563824,30,6.905916
24.689991,21,6.971029
23.456713,29,7.068588
35.45609,26,7.223943
39.742839,28,7.284234
46.39777,36,7.347417
27.571333,32,7.413821
24.649634,28,7.57765
15.669643,31,7.658067
30.350108,33,7.734765
6.734174,36,7.797016
31.526263,30,7.959935
31.167954,25,8.037352
37.551609,28,8.11654
27.056239,31,8.18688
37.857792,23,8.343844
29.917842,31,8.423703
49.806888,28,8.508765
27.597931,27,8.595299
13.109883,38,8.700191
47.115988,29,8.868401
34.041108,23,8.929856
33.317615,28,8.998209
35.516637,24,9.073531
27.27896,24,9.158092
39.90536,25,9.33139
25.578812,21,9.364631
41.734467,25,9.398427
33.70505,25,9.431414
22.51663,25,9.46461
32.2673,27,9.656003
48.41124,31,9.738774
39.831948,26,9.819599
38.765802,33,9.905839
41.45392,26,10.081444
46.033429,31,10.149879
20.610018,29,10.211672
30.302232,21,10.261371
42.393964,26,10.304883
39.601956,24,10.473738
44.475091,31,10.564779
36.909828,28,10.649312
20.21569,31,10.742236
34.967927,38,10.940742
17.301914,28,11.035151
35.404182,32,11.117986
43.962804,29,11.194617
47.88674,27,11.262981
30.674638,27,11.405965
31.093703,31,11.470329
31.281365,32,11.517343
48.216522,31,11.571165
43.660769,31,11.746277
31.363128,26,11.816424
31.629395,33,11.917675
37.410894,30,11.977352
31.390817,33,12.161995
26.488303,34,12.234471
36.224983,27,12.285513
8.667877,36,12.340273
30.084093,27,12.499242
37.112986,27,12.57477
7.134398,27,12.664024
10.4568,37,12.751793
12.744191,30,12.924514
36.328885,26,12.996516
42.413621,32,13.081459
30.833665,25,13.149729
40.264778,23,13.209991
31.929683,38,13.421872
8.45259,33,13.499554
35.516527,27,13.553676
29.802027,29,13.607721
16.658545,29,13.779407
28.849076,24,13.847159
25.271571,32,13.938272
31.404946,29,14.011501
37.588971,33,14.125111
16.581176,36,14.300129
25.886691,30,14.353889
33.985768,27,14.413144
26.592719,33,14.497947
39.123361,31,14.80213
22.359473,24,14.850899
33.76828,26,14.908916
33.627287,25,14.967726
29.609709,26,15.131315
41.362238,35,15.22592
20.124386,29,15.29882
18.586889,29,15.370267
40.144723,27,15.478286
11.71127,27,15.781576
36.781653,28,15.85288
13.543285,33,15.935457
46.357582,28,16.020064
28.239827,21,16.164813
38.245335,24,16.239456
29.189077,29,16.300743
52.015961,31,16.361604
11.764691,32,16.437206
28.634371,27,16.604532
30.485905,21,16.674644
39.977278,26,16.752985
30.910272,23,16.810482
22.529868,29,16.906398
46.367413,30,17.120815
28.870094,23,17.174832
15.084353,32,17.235515
39.646307,31,17.277882
23.943049,28,17.450777
18.929354,27,17.513749
12.87306,32,17.587794
30.509696,28,17.639637
21.9216,24,17.675284
31.130793,27,17.835972
18.514356,26,17.875775
26.714853,20,17.9035
37.113838,24,17.940728
41.883667,25,17.9852
17.71166,27,18.111357
31.194749,22,18.175982
40.867458,29,18.257288
26.98358,28,18.326308
47.047473,35,18.428248
35.321615,33,18.594192
36.564289,29,18.642546
34.325851,24,18.676435
29.018231,30,18.721039
32.176938,23,18.883532
31.632444,31,18.956422
32.559702,23,19.027092
44.657589,29,19.090796
18.156564,29,19.143993
33.547609,33,19.458646
38.678439,28,19.505995
44.126144,28,19.559145
41.135666,24,19.604643
36.74986,30,19.753292
49.815676,29,19.821514
29.927522,34,19.904747
36.83279,25,19.978829
33.365595,22,20.012645
42.067865,27,20.181292
19.069891,29,20.269353
22.035543,30,20.342317
26.326486,27,20.401219
43.267567,27,20.468543
38.494771,30,20.63881
37.813197,26,20.706933
37.235189,27,20.766021
8.721131,36,20.832131
33.751068,24,20.994451
24.527538,25,21.043988
38.322669,30,21.111465
8.074541,31,21.179108
27.072744,26,21.217159
43.511679,30,21.402565
39.455411,28,21.478458
36.789952,28,21.573088
24.014136,30,21.659912
36.547047,26,21.847624
32.109569,27,21.940813
46.913208,27,22.003152
26.424571,22,22.043732
38.809854,29,22.11109
24.73861,25,22.279078
40.786658,33,22.367772
19.187031,28,22.426836
13.31961,35,22.523179
22.919499,27,22.712618
28.527378,32,22.789725
21.806729,28,22.850413
19.108032,27,22.910773
36.256537,26,22.978682
36.383728,22,23.116634
21.851351,29,23.186076
32.693057,30,23.247971
46.184417,33,23.310627
24.017977,27,23.475734
24.549715,30,23.551736
20.070513,29,23.625359
20.084624,40,23.721633
10.353793,31,23.894773
32.028149,25,23.966278
39.715317,29,24.041928
41.858677,26,24.105821
22.957873,32,24.189214
26.883899,33,24.371422
46.705766,32,24.454914
24.63171,27,24.521568
43.233613,31,24.624342
43.667444,30,24.85698
38.206323,32,24.919235
44.241021,26,24.965887
32.139471,34,25.030554
27.781573,32,25.201955
34.444986,28,25.275453
42.089646,27,25.344371
12.982094,31,25.410695
43.663804,29,25.698997
26.557726,29,25.777317
25.814864,27,25.846322
26.087085,26,25.912399
18.961832,34,26.014815
23.067468,25,26.19138
11.046204,31,26.278103
26.589732,26,26.344834
35.846506,28,26.431385
31.57576,23,26.502102
36.674111,31,26.666546
17.006733,32,26.739434
42.778767,29,26.788587
31.656824,30,26.835638
24.11284,39,27.023192
39.763813,31,27.120915
34.023904,29,27.199802
26.083633,27,27.244928
27.363666,39,27.438816
36.251474,26,27.495619
35.451143,30,27.55279
34.028556,25,27.588797
42.345761,32,27.732517
45.889739,30,27.798587
28.273159,33,27.842831
19.529329,35,27.892764
40.248027,25,28.034295
29.02009,27,28.109459
40.302523,38,28.195636
32.338955,31,28.246744
28.492871,34,28.410908
28.196707,34,28.487401
26.778464,34,28.547255
24.703598,30,28.608545
14.60752,35,28.80005
18.681828,28,28.866911
54.586399,34,28.947376
35.271055,24,28.989706
41.925254,29,29.041796
40.715519,25,29.19224
25.367775,25,29.236442
19.633707,34,29.29521
27.065674,26,29.335988
28.139056,34,29.631759
28.461967,36,29.719475
45.752484,37,29.824394
12.53991,37,29.915361
41.666717,36,30.094312
18.236016,31,30.169252
15.20696,34,30.233342
35.696804,32,30.384826
27.051422,38,30.475566
23.991152,28,30.553436
15.651345,33,30.630491
19.876689,30,30.796048
53.278866,33,30.892842
13.631611,34,30.99173
39.6364,33,31.058253
35.560107,39,31.244248
34.959671,30,31.318751
43.41732,29,31.367102
26.314724,34,31.412954
47.8246,39,31.578537
35.784843,34,31.6457
12.720673,38,31.716413
37.066563,31,31.778113
20.615566,28,31.928077
28.905975,36,32.014544
31.333495,34,32.066592
50.47171,31,32.110242
22.057666,33,32.279386
34.948942,30,32.344584
49.539474,33,32.419494
38.162187,30,32.465031
52.301759,34,32.639826
35.332437,26,32.684709
37.487593,25,32.73673
36.974639,29,32.784618
40.251561,25,32.905771
34.652901,34,33.011256
47.898231,29,33.087581
32.949306,35,33.186978
44.130916,36,33.40181
45.842882,43,33.503387
36.24525,31,33.558897
38.463504,28,33.613526
43.475813,28,33.784918
34.290517,35,33.879486
47.104082,28,33.951393
47.961362,31,34.020928
45.153941,26,34.185833
51.390033,33,34.295942
37.051942,30,34.388833
39.093045,28,34.474535
24.631815,36,34.662724
30.267924,23,34.729818
25.613278,35,34.791679
25.242254,26,34.838022
44.856165,35,34.910505
42.786582,35,35.097025
39.464138,32,35.184015
30.688131,33,35.270171
36.262041,28,35.340744
34.86464,30,35.762644
36.720294,36,35.85171
34.652038,34,35.939646
39.115696,25,36.009659
27.145392,35,36.218401
38.05123,31,36.279702
28.864686,34,36.352634
20.875533,35,36.450528
39.023622,36,36.636081
41.78071,28,36.726555
58.703176,34,36.817385
41.60166,32,36.897209
34.891935,24,37.04531
47.3185,28,37.12282
48.144749,34,37.203491
27.47627,31,37.29553
46.129026,32,37.496941
35.386833,29,37.568605
35.05288,30,37.64345
45.245307,28,37.722275
37.065936,34,37.928943
26.22559,29,38.017779
31.373133,31,38.090564
22.667018,35,38.184412
48.537054,30,38.360366
37.537994,34,38.448423
40.16395,32,38.511073
29.872647,29,38.57639
36.745195,23,38.644468
47.226166,33,38.933972
23.248806,30,39.007233
34.001416,36,39.096823
10.460029,32,39.303156
39.754699,31,39.370213
31.009961,30,39.419903
38.771094,29,39.464789
46.233185,28,39.516395
43.884472,31,39.692552
41.306511,34,39.765581
36.872404,31,39.825843
40.346062,35,39.878427
41.577108,40,40.088266
26.908143,33,40.167775
25.548852,27,40.235898
55.215693,35,40.421243
48.318109,30,40.504382
41.732319,32,40.58495
39.01907,28,40.655377
43.256233,30,40.748516
41.503236,29,40.915177
40.102389,34,40.997549
42.114115,34,41.074542
43.46183,28,41.165413
56.103439,34,41.343606
36.26671,38,41.441807
39.607971,28,41.500621
12.100186,32,41.603854
40.44261,38,41.785767
27.453493,35,41.868003
28.389839,32,41.938202
34.498987,33,42.11772
36.983507,27,42.192688
10.69282,29,42.266664
7.710358,33,42.334897
37.739341,26,42.405596
41.287137,26,42.567544
40.97134,32,42.66195
52.762226,33,42.735596
49.839052,31,42.840502
29.22331,26,42.978373
35.068408,29,43.073488
43.274472,29,43.14772
42.873072,35,43.24474
13.276896,31,43.553508
32.732856,23,43.606044
57.813406,35,43.669393
51.348513,34,43.727887
31.720772,33,43.905009
31.933768,31,43.97308
35.338146,28,44.031248
36.980463,32,44.104853
30.594998,32,44.255031
38.370569,34,44.349783
34.708796,33,44.454985
51.986673,32,44.545796
38.915829,24,44.619359
44.509223,27,44.785633
38.284224,31,44.856084
32.736797,24,44.894441
32.09128,28,44.934337
32.727679,35,45.104719
29.1372,35,45.195823
35.991202,31,45.281057
33.02931,29,45.363546
